zipCode_unlock,hora_unlock,total_trips_per_hour
28001,0,5646
28001,1,3462
28001,2,2278
28001,3,1219
28001,4,981
28001,5,815
28001,6,901
28001,7,2685
28001,8,6032
28001,9,5859
28001,10,4949
28001,11,5464
28001,12,6933
28001,13,9916
28001,14,16724
28001,15,15114
28001,16,11338
28001,17,11721
28001,18,15975
28001,19,16823
28001,20,14668
28001,21,9227
28001,22,5323
28001,23,5415
28002,0,1739
28002,1,756
28002,2,562
28002,3,465
28002,4,471
28002,5,620
28002,6,737
28002,7,2928
28002,8,5672
28002,9,5373
28002,10,3048
28002,11,3380
28002,12,3606
28002,13,4864
28002,14,5853
28002,15,5036
28002,16,4568
28002,17,5325
28002,18,6255
28002,19,6671
28002,20,5734
28002,21,4188
28002,22,2342
28002,23,2236
28003,0,4833
28003,1,3153
28003,2,2656
28003,3,1603
28003,4,1432
28003,5,1505
28003,6,2447
28003,7,5749
28003,8,13101
28003,9,11835
28003,10,7643
28003,11,6938
28003,12,7514
28003,13,9406
28003,14,12906
28003,15,11966
28003,16,9379
28003,17,10433
28003,18,13769
28003,19,14786
28003,20,14071
28003,21,10344
28003,22,6622
28003,23,5296
28004,0,11289
28004,1,8916
28004,2,7667
28004,3,6295
28004,4,4471
28004,5,3221
28004,6,2943
28004,7,5155
28004,8,13472
28004,9,13125
28004,10,9138
28004,11,9323
28004,12,10369
28004,13,12916
28004,14,17565
28004,15,16301
28004,16,15494
28004,17,15968
28004,18,18648
28004,19,19978
28004,20,18057
28004,21,14842
28004,22,11323
28004,23,11392
28005,0,9385
28005,1,6145
28005,2,4334
28005,3,2553
28005,4,1685
28005,5,2782
28005,6,4399
28005,7,13518
28005,8,24660
28005,9,22332
28005,10,14224
28005,11,13069
28005,12,13612
28005,13,14663
28005,14,17051
28005,15,14441
28005,16,15333
28005,17,16989
28005,18,20033
28005,19,23268
28005,20,20118
28005,21,15142
28005,22,10002
28005,23,10451
28006,0,2965
28006,1,1934
28006,2,1366
28006,3,831
28006,4,700
28006,5,764
28006,6,942
28006,7,2351
28006,8,6381
28006,9,6133
28006,10,3998
28006,11,4012
28006,12,4685
28006,13,6341
28006,14,11219
28006,15,10484
28006,16,7809
28006,17,7669
28006,18,10922
28006,19,10187
28006,20,9122
28006,21,5672
28006,22,3844
28006,23,2997
28007,0,4059
28007,1,2187
28007,2,1470
28007,3,827
28007,4,885
28007,5,1405
28007,6,3162
28007,7,12181
28007,8,18979
28007,9,15019
28007,10,8340
28007,11,8412
28007,12,8839
28007,13,9785
28007,14,11652
28007,15,11865
28007,16,10283
28007,17,11655
28007,18,14721
28007,19,16030
28007,20,14892
28007,21,10919
28007,22,7113
28007,23,5407
28008,0,4088
28008,1,2114
28008,2,1310
28008,3,910
28008,4,942
28008,5,685
28008,6,807
28008,7,2380
28008,8,6462
28008,9,5762
28008,10,4730
28008,11,5059
28008,12,5716
28008,13,6821
28008,14,8589
28008,15,6768
28008,16,6442
28008,17,7523
28008,18,9042
28008,19,10334
28008,20,9437
28008,21,6848
28008,22,5032
28008,23,4414
28009,0,8318
28009,1,4305
28009,2,2654
28009,3,1327
28009,4,1086
28009,5,1574
28009,6,2411
28009,7,6836
28009,8,16542
28009,9,15903
28009,10,9036
28009,11,9065
28009,12,9632
28009,13,12145
28009,14,18780
28009,15,16593
28009,16,12981
28009,17,14206
28009,18,16017
28009,19,17281
28009,20,17361
28009,21,14127
28009,22,9379
28009,23,8332
28010,0,4069
28010,1,2677
28010,2,1799
28010,3,1221
28010,4,1086
28010,5,869
28010,6,1305
28010,7,3518
28010,8,7169
28010,9,7487
28010,10,4693
28010,11,4482
28010,12,5014
28010,13,5981
28010,14,8332
28010,15,7102
28010,16,6336
28010,17,7173
28010,18,9845
28010,19,9602
28010,20,8483
28010,21,5858
28010,22,4082
28010,23,4085
28011,0,891
28011,1,559
28011,2,302
28011,3,161
28011,4,161
28011,5,423
28011,6,560
28011,7,1627
28011,8,3442
28011,9,3279
28011,10,2732
28011,11,2481
28011,12,2459
28011,13,2522
28011,14,2662
28011,15,2836
28011,16,2374
28011,17,2926
28011,18,3824
28011,19,4664
28011,20,3742
28011,21,2230
28011,22,1020
28011,23,977
28012,0,13294
28012,1,9193
28012,2,6992
28012,3,5354
28012,4,3638
28012,5,2749
28012,6,3458
28012,7,9306
28012,8,18358
28012,9,17886
28012,10,12324
28012,11,13345
28012,12,13330
28012,13,14871
28012,14,16949
28012,15,15548
28012,16,16034
28012,17,16513
28012,18,19327
28012,19,21183
28012,20,19476
28012,21,16268
28012,22,13398
28012,23,13582
28013,0,7184
28013,1,5259
28013,2,3950
28013,3,3061
28013,4,2385
28013,5,2063
28013,6,1869
28013,7,2256
28013,8,4460
28013,9,5580
28013,10,4690
28013,11,5585
28013,12,6128
28013,13,8359
28013,14,10785
28013,15,10191
28013,16,9455
28013,17,9793
28013,18,11215
28013,19,11582
28013,20,10338
28013,21,9190
28013,22,7843
28013,23,8611
28014,0,4078
28014,1,2118
28014,2,1796
28014,3,1381
28014,4,1385
28014,5,775
28014,6,940
28014,7,2006
28014,8,5023
28014,9,5325
28014,10,4059
28014,11,4121
28014,12,5416
28014,13,7485
28014,14,12655
28014,15,10075
28014,16,7531
28014,17,8087
28014,18,10162
28014,19,9775
28014,20,8480
28014,21,6380
28014,22,4168
28014,23,4510
28015,0,6327
28015,1,4005
28015,2,3399
28015,3,2159
28015,4,1984
28015,5,1941
28015,6,2893
28015,7,9362
28015,8,18370
28015,9,15051
28015,10,10746
28015,11,9731
28015,12,11040
28015,13,12239
28015,14,15598
28015,15,14542
28015,16,12436
28015,17,13410
28015,18,16078
28015,19,18723
28015,20,17342
28015,21,13349
28015,22,8655
28015,23,7711
28016,0,976
28016,1,524
28016,2,358
28016,3,220
28016,4,165
28016,5,191
28016,6,415
28016,7,1600
28016,8,3204
28016,9,2378
28016,10,1590
28016,11,1862
28016,12,1824
28016,13,3075
28016,14,4196
28016,15,3578
28016,16,2589
28016,17,2686
28016,18,4213
28016,19,4139
28016,20,3626
28016,21,2330
28016,22,1463
28016,23,1269
28017,0,378
28017,1,234
28017,2,89
28017,3,74
28017,4,47
28017,5,238
28017,6,281
28017,7,870
28017,8,1652
28017,9,1188
28017,10,728
28017,11,829
28017,12,900
28017,13,878
28017,14,804
28017,15,1018
28017,16,774
28017,17,1068
28017,18,1658
28017,19,1327
28017,20,1168
28017,21,814
28017,22,598
28017,23,407
28018,0,3
28018,1,6
28018,2,3
28018,3,2
28018,4,1
28018,6,1
28018,7,6
28018,8,3
28018,9,5
28018,10,6
28018,11,8
28018,12,7
28018,13,8
28018,14,5
28018,15,6
28018,16,4
28018,17,7
28018,18,11
28018,19,10
28018,20,4
28018,21,5
28018,22,5
28018,23,4
28019,0,1181
28019,1,737
28019,2,448
28019,3,297
28019,4,174
28019,5,345
28019,6,516
28019,7,2633
28019,8,3786
28019,9,3254
28019,10,2419
28019,11,2469
28019,12,2546
28019,13,2680
28019,14,2971
28019,15,2660
28019,16,2663
28019,17,3168
28019,18,4563
28019,19,4837
28019,20,4186
28019,21,3013
28019,22,1743
28019,23,1368
28020,0,2095
28020,1,1332
28020,2,987
28020,3,767
28020,4,1011
28020,5,738
28020,6,980
28020,7,2535
28020,8,5083
28020,9,5853
28020,10,3280
28020,11,2884
28020,12,3499
28020,13,4790
28020,14,7104
28020,15,6408
28020,16,5296
28020,17,6334
28020,18,9248
28020,19,8355
28020,20,6867
28020,21,3918
28020,22,2660
28020,23,2465
28022,0,4
28022,1,7
28022,2,6
28022,3,1
28022,4,2
28022,5,1
28022,7,9
28022,8,1
28022,9,2
28022,10,2
28022,11,2
28022,12,1
28022,13,4
28022,14,5
28022,15,7
28022,16,2
28022,18,9
28022,19,8
28022,20,2
28022,21,4
28022,22,3
28022,23,4
28024,1,2
28024,5,1
28024,12,2
28024,15,1
28024,17,2
28024,18,2
28024,19,1
28024,20,1
28024,22,1
28025,0,4
28025,1,4
28025,2,2
28025,3,1
28025,5,3
28025,6,1
28025,7,4
28025,8,1
28025,9,3
28025,10,3
28025,11,1
28025,12,3
28025,13,4
28025,14,5
28025,15,13
28025,16,3
28025,17,5
28025,18,1
28025,19,8
28025,20,12
28025,21,5
28025,22,4
28025,23,2
28026,0,548
28026,1,340
28026,2,224
28026,3,136
28026,4,164
28026,5,369
28026,6,608
28026,7,1361
28026,8,2758
28026,9,2591
28026,10,1301
28026,11,1537
28026,12,1330
28026,13,1612
28026,14,1933
28026,15,1724
28026,16,1832
28026,17,2112
28026,18,2543
28026,19,2518
28026,20,2294
28026,21,1666
28026,22,1404
28026,23,703
28027,0,397
28027,1,226
28027,2,160
28027,3,82
28027,4,85
28027,5,417
28027,6,637
28027,7,2033
28027,8,4223
28027,9,2702
28027,10,1435
28027,11,1397
28027,12,1476
28027,13,1675
28027,14,2104
28027,15,2085
28027,16,1619
28027,17,2386
28027,18,3242
28027,19,2611
28027,20,1807
28027,21,1251
28027,22,777
28027,23,591
28028,0,3718
28028,1,1942
28028,2,1343
28028,3,886
28028,4,678
28028,5,1254
28028,6,2073
28028,7,6745
28028,8,14083
28028,9,9834
28028,10,6222
28028,11,5881
28028,12,6233
28028,13,7198
28028,14,8671
28028,15,8140
28028,16,7793
28028,17,8980
28028,18,12182
28028,19,12829
28028,20,11435
28028,21,7924
28028,22,4632
28028,23,3818
28029,0,108
28029,1,29
28029,2,39
28029,3,17
28029,4,16
28029,5,4
28029,6,9
28029,7,65
28029,8,119
28029,9,210
28029,10,163
28029,11,212
28029,12,299
28029,13,389
28029,14,835
28029,15,700
28029,16,507
28029,17,896
28029,18,1136
28029,19,736
28029,20,394
28029,21,234
28029,22,152
28029,23,111
28030,0,499
28030,1,366
28030,2,201
28030,3,109
28030,4,87
28030,5,578
28030,6,700
28030,7,2047
28030,8,2633
28030,9,2060
28030,10,1644
28030,11,1467
28030,12,1404
28030,13,1444
28030,14,1696
28030,15,1318
28030,16,1161
28030,17,1684
28030,18,2143
28030,19,2668
28030,20,2079
28030,21,1327
28030,22,800
28030,23,803
28031,4,1
28031,7,29
28031,8,5
28031,9,1
28031,13,1
28031,16,1
28031,18,1
28031,19,1
28031,20,1
28031,21,1
28031,23,1
28032,0,2
28032,1,1
28032,2,1
28032,7,1
28032,8,1
28032,9,1
28032,10,2
28032,11,1
28032,12,3
28032,13,2
28032,14,1
28032,15,3
28032,16,4
28032,17,3
28032,18,7
28032,19,8
28032,20,6
28032,21,5
28032,22,6
28032,23,3
28033,0,6
28033,1,16
28033,2,10
28033,3,5
28033,4,5
28033,5,2
28033,6,2
28033,7,8
28033,8,4
28033,9,12
28033,10,9
28033,11,12
28033,12,22
28033,13,18
28033,14,22
28033,15,22
28033,16,14
28033,17,44
28033,18,28
28033,19,29
28033,20,44
28033,21,29
28033,22,11
28033,23,20
28034,0,9
28034,1,7
28034,2,1
28034,3,3
28034,5,3
28034,6,2
28034,7,3
28034,8,9
28034,9,10
28034,10,23
28034,11,10
28034,12,18
28034,13,12
28034,14,15
28034,15,12
28034,16,10
28034,17,16
28034,18,11
28034,19,12
28034,20,14
28034,21,15
28034,22,6
28034,23,13
28035,0,11
28035,1,5
28035,2,1
28035,3,1
28035,6,1
28035,7,2
28035,8,5
28035,9,5
28035,10,11
28035,11,12
28035,12,4
28035,13,7
28035,14,13
28035,16,7
28035,17,5
28035,18,17
28035,19,15
28035,20,19
28035,21,8
28035,22,8
28035,23,8
28036,0,2
28036,1,3
28036,2,2
28036,3,2
28036,4,1
28036,5,1
28036,6,3
28036,7,31
28036,8,45
28036,9,53
28036,10,47
28036,11,20
28036,12,45
28036,13,44
28036,14,13
28036,15,38
28036,16,23
28036,17,22
28036,18,18
28036,19,23
28036,20,36
28036,21,13
28036,22,5
28036,23,7
28037,0,7
28037,1,7
28037,2,1
28037,3,3
28037,4,3
28037,6,2
28037,7,3
28037,8,3
28037,9,15
28037,10,8
28037,11,9
28037,12,21
28037,13,28
28037,14,28
28037,15,22
28037,16,18
28037,17,33
28037,18,48
28037,19,27
28037,20,30
28037,21,23
28037,22,10
28037,23,19
28038,0,73
28038,1,55
28038,2,22
28038,3,29
28038,4,28
28038,5,99
28038,6,378
28038,7,324
28038,8,299
28038,9,223
28038,10,217
28038,11,208
28038,12,215
28038,13,270
28038,14,368
28038,15,364
28038,16,335
28038,17,501
28038,18,303
28038,19,339
28038,20,284
28038,21,188
28038,22,113
28038,23,88
28039,0,1294
28039,1,795
28039,2,583
28039,3,388
28039,4,510
28039,5,1167
28039,6,1253
28039,7,4044
28039,8,8131
28039,9,6324
28039,10,3828
28039,11,3862
28039,12,3628
28039,13,3814
28039,14,4428
28039,15,4130
28039,16,4299
28039,17,5078
28039,18,6948
28039,19,7510
28039,20,5977
28039,21,3842
28039,22,2481
28039,23,1595
28040,0,1149
28040,1,605
28040,2,361
28040,3,175
28040,4,73
28040,5,201
28040,6,92
28040,7,411
28040,8,1445
28040,9,1378
28040,10,1291
28040,11,1510
28040,12,2224
28040,13,2864
28040,14,4900
28040,15,2852
28040,16,2680
28040,17,3228
28040,18,4173
28040,19,4034
28040,20,4081
28040,21,2787
28040,22,1058
28040,23,839
28041,0,2
28041,1,4
28041,3,1
28041,7,4
28041,8,2
28041,9,3
28041,10,3
28041,11,6
28041,12,4
28041,13,11
28041,14,14
28041,15,4
28041,16,6
28041,17,8
28041,18,11
28041,19,4
28041,20,6
28041,21,3
28041,23,2
28042,1,3
28042,2,2
28042,7,5
28042,9,3
28042,10,2
28042,11,2
28042,12,3
28042,13,7
28042,14,9
28042,15,2
28042,16,4
28042,17,10
28042,18,9
28042,19,3
28042,20,7
28042,21,1
28042,22,1
28042,23,6
28043,0,31
28043,1,15
28043,2,11
28043,3,5
28043,4,2
28043,5,1
28043,6,2
28043,7,10
28043,8,15
28043,9,20
28043,10,30
28043,11,13
28043,12,19
28043,13,16
28043,14,27
28043,15,30
28043,16,36
28043,17,45
28043,18,51
28043,19,42
28043,20,34
28043,21,23
28043,22,18
28043,23,19
28044,10,1
28044,12,2
28044,14,1
28044,19,1
28044,20,1
28044,22,1
28045,0,4566
28045,1,2591
28045,2,1518
28045,3,844
28045,4,1036
28045,5,1408
28045,6,2488
28045,7,9096
28045,8,16165
28045,9,13360
28045,10,10462
28045,11,10147
28045,12,10210
28045,13,11217
28045,14,12518
28045,15,11382
28045,16,10750
28045,17,13504
28045,18,17028
28045,19,17494
28045,20,15302
28045,21,11331
28045,22,7933
28045,23,6365
28046,0,3843
28046,1,2718
28046,2,2268
28046,3,1347
28046,4,926
28046,5,850
28046,6,758
28046,7,1707
28046,8,3899
28046,9,4154
28046,10,3437
28046,11,3709
28046,12,4161
28046,13,6241
28046,14,11426
28046,15,9557
28046,16,7461
28046,17,9045
28046,18,12721
28046,19,11148
28046,20,7869
28046,21,5534
28046,22,3904
28046,23,3600
28047,0,3
28047,1,1
28047,2,2
28047,3,3
28047,4,1
28047,5,2
28047,6,3
28047,7,2
28047,8,3
28047,9,9
28047,10,9
28047,11,5
28047,12,12
28047,13,9
28047,14,5
28047,15,8
28047,16,8
28047,17,5
28047,18,10
28047,19,13
28047,20,5
28047,21,7
28047,22,5
28047,23,5
28049,0,5
28049,1,1
28049,2,1
28049,3,3
28049,5,1
28049,6,2
28049,7,4
28049,8,8
28049,9,5
28049,10,5
28049,11,6
28049,12,4
28049,13,13
28049,14,10
28049,15,3
28049,16,4
28049,17,7
28049,18,15
28049,19,18
28049,20,9
28049,21,13
28049,22,2
28049,23,4
28050,0,12
28050,1,3
28050,2,2
28050,3,3
28050,4,1
28050,5,4
28050,6,2
28050,7,25
28050,8,39
28050,9,39
28050,10,23
28050,11,31
28050,12,27
28050,13,31
28050,14,36
28050,15,37
28050,16,33
28050,17,56
28050,18,50
28050,19,45
28050,20,26
28050,21,20
28050,22,20
28050,23,13
28052,10,1
28052,22,1
28052,23,1
28053,0,355
28053,1,349
28053,2,186
28053,3,96
28053,4,85
28053,5,199
28053,6,181
28053,7,777
28053,8,1533
28053,9,1123
28053,10,863
28053,11,814
28053,12,960
28053,13,901
28053,14,1169
28053,15,715
28053,16,791
28053,17,950
28053,18,1098
28053,19,1410
28053,20,1079
28053,21,688
28053,22,449
28053,23,514
28054,1,1
28054,11,1
28054,14,1
28054,16,2
28055,0,1
28055,2,5
28055,3,4
28055,7,3
28055,9,2
28055,10,1
28055,11,1
28055,12,4
28055,13,13
28055,14,5
28055,15,3
28055,16,4
28055,17,1
28055,18,5
28055,19,4
28055,20,8
28055,21,4
28055,22,1
28055,23,6
28108,19,5
